Name,Full Name,Object Type,Internal Type,Level,File Path,Line of code,Cyclomatic Complexity,Essential Complexity
ArrayList_To_Table,EHC_Infrastructure.Utility.ArrayList_To_Table,SQL Server Function,SQLScriptFunction,SQL Server Function,C:\ProgramData\CAST\AipConsole\AipNode\deploy\Project Modern Cardinal\main_sources\DDL\EHC_Infrastructure.sql,31,4,4
WrapReservedWord,EHC.Utility.WrapReservedWord,SQL Server Function,SQLScriptFunction,SQL Server Function,C:\ProgramData\CAST\AipConsole\AipNode\deploy\Project Modern Cardinal\main_sources\DDL\EHC.sql,15,4,4
InlineMax,EHC_Infrastructure.Utility.InlineMax,SQL Server Function,SQLScriptFunction,SQL Server Function,C:\ProgramData\CAST\AipConsole\AipNode\deploy\Project Modern Cardinal\main_sources\DDL\EHC_Infrastructure.sql,12,3,3
ArrayList_To_Table,EHC.Utility.ArrayList_To_Table,SQL Server Function,SQLScriptFunction,SQL Server Function,C:\ProgramData\CAST\AipConsole\AipNode\deploy\Project Modern Cardinal\main_sources\DDL\EHC.sql,31,4,4
FormatDate,EHC_Infrastructure.Utility.FormatDate,SQL Server Function,SQLScriptFunction,SQL Server Function,C:\ProgramData\CAST\AipConsole\AipNode\deploy\Project Modern Cardinal\main_sources\DDL\EHC_Infrastructure.sql,33,2,2
InlineMax,EHC.Utility.InlineMax,SQL Server Function,SQLScriptFunction,SQL Server Function,C:\ProgramData\CAST\AipConsole\AipNode\deploy\Project Modern Cardinal\main_sources\DDL\EHC.sql,12,3,3
FieldIdFromCanonicalName,EHC.Application.FieldIdFromCanonicalName,SQL Server Function,SQLScriptFunction,SQL Server Function,C:\ProgramData\CAST\AipConsole\AipNode\deploy\Project Modern Cardinal\main_sources\Configurations-Scripts-Sources\EHC.Application\Data\Databases\Core\Refactor\Application\Field_CanonicalNames_Populate.sql,11,2,2
DatabaseFileSizeInMb,EHC.Utility.DatabaseFileSizeInMb,SQL Server Function,SQLScriptFunction,SQL Server Function,C:\ProgramData\CAST\AipConsole\AipNode\deploy\Project Modern Cardinal\main_sources\DDL\EHC.sql,17,2,2
DateTimeFromParts,EHC.Utility.DateTimeFromParts,SQL Server Function,SQLScriptFunction,SQL Server Function,C:\ProgramData\CAST\AipConsole\AipNode\deploy\Project Modern Cardinal\main_sources\DDL\EHC.sql,11,2,2
GenerateTemporaryPassword,EHC.User.GenerateTemporaryPassword,SQL Server Function,SQLScriptFunction,SQL Server Function,C:\ProgramData\CAST\AipConsole\AipNode\deploy\Project Modern Cardinal\main_sources\DDL\EHC.sql,14,2,2
FormatDate,EHC.Utility.FormatDate,SQL Server Function,SQLScriptFunction,SQL Server Function,C:\ProgramData\CAST\AipConsole\AipNode\deploy\Project Modern Cardinal\main_sources\DDL\EHC.sql,33,2,2
InlineMin,EHC.Utility.InlineMin,SQL Server Function,SQLScriptFunction,SQL Server Function,C:\ProgramData\CAST\AipConsole\AipNode\deploy\Project Modern Cardinal\main_sources\DDL\EHC.sql,12,3,3
ViewIdFromCanonicalName,EHC.Application.ViewIdFromCanonicalName,SQL Server Function,SQLScriptFunction,SQL Server Function,C:\ProgramData\CAST\AipConsole\AipNode\deploy\Project Modern Cardinal\main_sources\Configurations-Scripts-Sources\EHC.Application\Data\Databases\Core\Refactor\Application\View_CanonicalNames_Populate.sql,11,2,2
GetSubordinates,EHC.Employee.GetSubordinates,SQL Server Function,SQLScriptFunction,SQL Server Function,C:\ProgramData\CAST\AipConsole\AipNode\deploy\Project Modern Cardinal\main_sources\DDL\EHC.sql,26,2,2
